Time [s],Value,Parity Error,Framing Error
4.349515208333333,0xFA,,
4.349602375000000,0x18,,
4.349689541666667,0x10,,
4.349776666666667,0x00,,
4.349863833333333,0x00,,
4.349951000000000,0x02,,
4.350038125000000,0x65,,
4.350125250000000,0x6F,,
4.350212416666666,0xFD,,
4.424319208333333,0xFA,,
4.424406333333334,0x18,,
4.424493458333333,0x03,,
4.424580583333333,0x00,,
4.424667708333334,0x00,,
4.424754875000000,0x02,,
4.424842000000000,0x66,,
4.424929125000000,0x7F,,
4.425016250000000,0xFD,,
4.474213291666667,0xFA,,
4.474300458333333,0x12,,
4.474387625000000,0x01,,
4.474474750000000,0x01,,
4.474561916666667,0x02,,
4.474649041666667,0x67,,
4.474736166666666,0x77,,
4.474823291666667,0xFD,,
4.484301000000000,0xFA,,
4.484388166666666,0x14,,
4.484475291666667,0x03,,
4.484562458333333,0xFF,,
4.484649625000000,0x00,,
4.484736791666666,0x02,,
4.484823958333333,0x68,,
4.484911125000000,0x82,,
4.484998291666667,0xFD,,
4.485085458333334,0xFA,,
4.485172583333333,0x13,,
4.485259750000000,0x01,,
4.485346916666667,0xFF,,
4.485434041666666,0x03,,
4.485521208333333,0xE8,,
4.485608375000000,0x02,,
4.485695541666667,0x69,,
4.485782666666666,0x6D,,
4.485869833333333,0xFD,,
4.485957000000000,0xFA,,
4.486044166666667,0x16,,
4.486131291666666,0x13,,
4.486218458333333,0x00,,
4.486305583333333,0x01,,
4.486392750000000,0x02,,
4.486479875000000,0x6A,,
4.486567041666667,0x6C,,
4.486654166666667,0xFD,,
4.486741291666666,0xFA,,
4.486828458333333,0x16,,
4.486915583333333,0x14,,
4.487002708333334,0x00,,
4.487089875000000,0x01,,
4.487177000000000,0x02,,
4.487264125000000,0x6B,,
4.487351250000000,0x6A,,
4.487438416666667,0xFD,,
4.487525541666667,0xFA,,
4.487612666666666,0x16,,
4.487699791666667,0x15,,
4.487786958333333,0x00,,
4.487874083333334,0x01,,
4.487961208333333,0x02,,
4.488048375000000,0x6C,,
4.488135500000000,0x6C,,
4.488222666666666,0xFD,,
4.488309791666667,0xFA,,
4.488396958333333,0x16,,
4.488484083333334,0x21,,
4.488571250000000,0x02,,
4.488658416666667,0x8A,,
4.488745583333333,0x02,,
4.488832708333334,0x6D,,
4.488919875000000,0xD0,,
4.489007000000000,0xFD,,
4.489094166666667,0xFA,,
4.489181291666666,0x16,,
4.489268416666667,0x22,,
4.489355583333333,0x04,,
4.489442708333334,0xE2,,
4.489529833333333,0x02,,
4.489617000000000,0x6E,,
4.489704166666667,0xBE,,
4.489791291666666,0xFD,,
4.489878416666667,0xFA,,
4.489965583333333,0x16,,
4.490052708333334,0x23,,
4.490139875000000,0x00,,
4.490227000000000,0x00,,
4.490314125000000,0x02,,
4.490401250000000,0x6F,,
4.490488416666667,0x58,,
4.490575541666667,0xFD,,
4.490662708333334,0xFA,,
4.490749875000000,0x16,,
4.490837041666667,0x72,,
4.490924208333333,0x04,,
4.491011375000000,0xE2,,
4.491098500000000,0x02,,
4.491185666666667,0x70,,
4.491272833333333,0xF0,,
4.491360000000000,0xFD,,
4.491447166666667,0xFA,,
4.491534333333333,0x16,,
4.491621458333333,0x73,,
4.491708625000000,0x02,,
4.491795750000000,0x8A,,
4.491882875000000,0x02,,
4.491970041666667,0x71,,
4.492057166666667,0x9E,,
4.492144333333333,0xFD,,
4.540725291666667,0xFA,,
4.540812416666666,0x03,,
4.540899541666667,0x00,,
4.540986666666667,0x01,,
4.541073791666666,0x02,,
4.541160916666667,0xF0,,
4.541248041666667,0x02,,
4.541335208333333,0x72,,
4.541422333333333,0x80,,
4.541509500000000,0xFD,,
4.641029708333333,0xFA,,
4.641116833333333,0x03,,
4.641203958333334,0x00,,
4.641291125000000,0x01,,
4.641378250000000,0x02,,
4.641465375000000,0xF0,,
4.641552541666667,0x02,,
4.641639666666666,0x73,,
4.641726833333333,0x81,,
4.641813958333334,0xFD,,
4.741324500000000,0xFA,,
4.741411666666667,0x03,,
4.741498791666666,0x00,,
4.741585916666667,0x01,,
4.741673083333334,0x02,,
4.741760208333333,0xF0,,
4.741847333333333,0x02,,
4.741934458333334,0x74,,
4.742021625000000,0x86,,
4.742108708333333,0xFD,,
4.841618666666666,0xFA,,
4.841705833333333,0x03,,
4.841792958333333,0x00,,
4.841880125000000,0x01,,
4.841967250000000,0x02,,
4.842054375000000,0xF0,,
4.842141500000000,0x02,,
4.842228666666666,0x75,,
4.842315791666667,0x87,,
4.842402958333333,0xFD,,
4.941922625000000,0xFA,,
4.942009750000000,0x03,,
4.942096875000000,0x00,,
4.942184000000000,0x01,,
4.942271125000000,0x02,,
4.942358250000000,0xF0,,
4.942445375000000,0x02,,
4.942532500000000,0x76,,
4.942619625000000,0x84,,
4.942706791666667,0xFD,,
5.042219208333333,0xFA,,
5.042306333333333,0x03,,
5.042393458333334,0x00,,
5.042480583333333,0x01,,
5.042567750000000,0x02,,
5.042654875000000,0xF0,,
5.042742000000000,0x02,,
5.042829125000000,0x77,,
5.042916250000000,0x85,,
5.043003375000000,0xFD,,
5.142515375000000,0xFA,,
5.142602500000000,0x03,,
5.142689625000000,0x00,,
5.142776750000000,0x01,,
5.142863916666666,0x02,,
5.142951041666667,0xF0,,
5.143038166666667,0x02,,
5.143125291666666,0x78,,
5.143212416666667,0x8A,,
5.143299541666667,0xFD,,
5.242813041666667,0xFA,,
5.242900166666667,0x03,,
5.242987291666667,0x00,,
5.243074416666667,0x01,,
5.243161541666667,0x02,,
5.243248666666666,0xF0,,
5.243335791666667,0x02,,
5.243422875000000,0x79,,
5.243510000000000,0x8B,,
5.243597125000000,0xFD,,
5.343117750000000,0xFA,,
5.343204875000000,0x03,,
5.343292000000000,0x00,,
5.343379125000000,0x01,,
5.343466250000000,0x02,,
5.343553416666667,0xF0,,
5.343640541666667,0x02,,
5.343727666666667,0x7A,,
5.343814833333333,0x88,,
5.343901958333333,0xFD,,
5.443420250000000,0xFA,,
5.443507375000000,0x03,,
5.443594500000000,0x00,,
5.443681666666667,0x01,,
5.443768791666667,0x02,,
5.443855916666666,0xF0,,
5.443943041666667,0x02,,
5.444030208333333,0x7B,,
5.444117333333334,0x89,,
5.444204458333333,0xFD,,
5.543722291666667,0xFA,,
5.543809458333333,0x03,,
5.543896583333333,0x00,,
5.543983708333333,0x01,,
5.544070833333334,0x02,,
5.544157958333333,0xF0,,
5.544245125000000,0x02,,
5.544332250000000,0x7C,,
5.544419416666667,0x8E,,
5.544506541666666,0xFD,,
5.644029500000000,0xFA,,
5.644116625000000,0x03,,
5.644203791666667,0x00,,
5.644290916666667,0x01,,
5.644378041666666,0x02,,
5.644465166666667,0xF0,,
5.644552291666667,0x02,,
5.644639416666666,0x7D,,
5.644726541666667,0x8F,,
5.644813666666667,0xFD,,
5.744325166666667,0xFA,,
5.744412333333333,0x03,,
5.744499458333333,0x00,,
5.744586583333334,0x01,,
5.744673750000000,0x02,,
5.744760875000000,0xF0,,
5.744848000000000,0x02,,
5.744935125000000,0x7E,,
5.745022250000000,0x8C,,
5.745109375000000,0xFD,,
5.844631958333333,0xFA,,
5.844719125000000,0x03,,
5.844806250000000,0x00,,
5.844893416666666,0x01,,
5.844980583333333,0x02,,
5.845067708333334,0xF0,,
5.845154875000000,0x02,,
5.845242041666666,0x7F,,
5.845329166666667,0x8D,,
5.845416291666667,0xFD,,
5.944928333333333,0xFA,,
5.945015458333334,0x03,,
5.945102583333333,0x00,,
5.945189708333333,0x01,,
5.945276833333334,0x02,,
5.945363958333333,0xF0,,
5.945451125000000,0x02,,
5.945538250000000,0x80,,
5.945625375000000,0x72,,
5.945712500000000,0xFD,,
5.945799625000000,0xFA,,
5.945886750000000,0x18,,
5.945973875000000,0x06,,
5.946061000000000,0x01,,
5.946148125000000,0x00,,
5.946235291666667,0x02,,
5.946322416666667,0x81,,
5.946409583333334,0x9C,,
5.946496708333333,0xFD,,
6.045227958333333,0xFA,,
6.045315125000000,0x03,,
6.045402250000000,0x00,,
6.045489375000000,0x01,,
6.045576500000000,0x02,,
6.045663666666667,0xF0,,
6.045750791666666,0x02,,
6.045837916666667,0x82,,
6.045925041666667,0x70,,
6.046012208333333,0xFD,,
6.145530875000000,0xFA,,
6.145618000000000,0x03,,
6.145705125000000,0x00,,
6.145792250000000,0x01,,
6.145879375000000,0x02,,
6.145966500000000,0xEF,,
6.146053666666667,0x02,,
6.146140791666666,0x83,,
6.146227916666667,0x6E,,
6.146315041666667,0xFD,,
6.245832416666667,0xFA,,
6.245919541666667,0x03,,
6.246006708333334,0x00,,
6.246093791666667,0x01,,
6.246180958333333,0x02,,
6.246268083333334,0xEF,,
6.246355208333333,0x02,,
6.246442333333333,0x84,,
6.246529458333334,0x69,,
6.246616583333333,0xFD,,
6.346138708333333,0xFA,,
6.346225833333333,0x03,,
6.346312958333334,0x00,,
6.346400083333333,0x01,,
6.346487208333333,0x02,,
6.346574333333334,0xEE,,
6.346661500000000,0x02,,
6.346748625000000,0x85,,
6.346835750000000,0x69,,
6.346922875000000,0xFD,,
6.446435791666667,0xFA,,
6.446522916666667,0x03,,
6.446610041666666,0x00,,
6.446697166666667,0x01,,
6.446784291666667,0x02,,
6.446871458333334,0xEC,,
6.446958583333333,0x02,,
6.447045708333333,0x86,,
6.447132833333334,0x68,,
6.447219958333333,0xFD,,
6.546732833333333,0xFA,,
6.546819958333334,0x03,,
6.546907083333333,0x00,,
6.546994208333333,0x01,,
6.547081333333334,0x02,,
6.547168458333333,0xEB,,
6.547255583333333,0x02,,
6.547342708333334,0x87,,
6.547429833333333,0x6E,,
6.547516958333333,0xFD,,
6.647028125000000,0xFA,,
6.647115250000000,0x03,,
6.647202375000000,0x00,,
6.647289500000000,0x01,,
6.647376625000000,0x02,,
6.647463750000000,0xE8,,
6.647550916666667,0x02,,
6.647638041666666,0x88,,
6.647725166666667,0x62,,
6.647812291666667,0xFD,,
6.747324041666666,0xFA,,
6.747411166666667,0x03,,
6.747498291666667,0x00,,
6.747585458333333,0x01,,
6.747672625000000,0x02,,
6.747759750000000,0xE6,,
6.747846916666667,0x02,,
6.747934083333333,0x89,,
6.748021208333333,0x6D,,
6.748108333333334,0xFD,,
6.847624958333333,0xFA,,
6.847712083333334,0x03,,
6.847799208333333,0x00,,
6.847886333333333,0x01,,
6.847973458333334,0x02,,
6.848060583333333,0xE4,,
6.848147708333333,0x02,,
6.848234791666667,0x8A,,
6.848321916666666,0x6C,,
6.848409083333333,0xFD,,
6.947912083333334,0xFA,,
6.947999250000000,0x03,,
6.948086375000000,0x00,,
6.948173500000000,0x01,,
6.948260583333333,0x02,,
6.948347708333333,0xE1,,
6.948434875000000,0x02,,
6.948522000000000,0x8B,,
6.948609083333333,0x68,,
6.948696250000000,0xFD,,
7.048207666666666,0xFA,,
7.048294791666667,0x03,,
7.048381916666667,0x00,,
7.048469041666666,0x01,,
7.048556166666667,0x02,,
7.048643291666667,0xDF,,
7.048730416666666,0x02,,
7.048817541666667,0x8C,,
7.048904666666667,0x51,,
7.048991791666666,0xFD,,
7.148500916666666,0xFA,,
7.148588083333333,0x03,,
7.148675208333334,0x00,,
7.148762333333333,0x01,,
7.148849458333333,0x02,,
7.148936583333334,0xDD,,
7.149023708333333,0x02,,
7.149110833333333,0x8D,,
7.149197958333334,0x52,,
7.149285083333333,0xFD,,
7.248788458333333,0xFA,,
7.248875583333334,0x03,,
7.248962708333333,0x00,,
7.249049833333333,0x01,,
7.249136958333334,0x02,,
7.249224041666666,0xDA,,
7.249311166666667,0x02,,
7.249398291666667,0x8E,,
7.249485416666666,0x56,,
7.249572541666667,0xFD,,
7.349068458333333,0xFA,,
7.349155583333333,0x03,,
7.349242708333334,0x00,,
7.349329833333333,0x01,,
7.349416958333333,0x02,,
7.349504041666667,0xD8,,
7.349591166666666,0x02,,
7.349678291666667,0x8F,,
7.349765416666667,0x55,,
7.349852541666666,0xFD,,
7.449351541666666,0xFA,,
7.449438666666667,0x03,,
7.449525791666667,0x00,,
7.449612916666666,0x01,,
7.449700000000000,0x02,,
7.449787125000000,0xD5,,
7.449874250000000,0x02,,
7.449961375000000,0x90,,
7.450048458333334,0x47,,
7.450135583333333,0xFD,,
7.549646166666666,0xFA,,
7.549733333333333,0x03,,
7.549820458333333,0x00,,
7.549907583333333,0x01,,
7.549994708333333,0x02,,
7.550081875000000,0xD3,,
7.550169000000000,0x02,,
7.550256125000000,0x91,,
7.550343250000000,0x40,,
7.550430416666667,0xFD,,
7.649952083333333,0xFA,,
7.650039208333333,0x03,,
7.650126333333334,0x00,,
7.650213458333333,0x01,,
7.650300583333333,0x02,,
7.650387708333334,0xD0,,
7.650474875000000,0x02,,
7.650562000000000,0x92,,
7.650649166666667,0x40,,
7.650736291666667,0xFD,,
7.750230958333334,0xFA,,
7.750318083333333,0x03,,
7.750405208333333,0x00,,
7.750492375000000,0x01,,
7.750579500000000,0x02,,
7.750666625000000,0xCE,,
7.750753750000000,0x02,,
7.750840875000000,0x93,,
7.750928000000000,0x5F,,
7.751015125000000,0xFD,,
